City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
102,newman,37.3138,-121.0208,29.02000000000004,43,98,1.34,US,2023-10-16
103,sitka,57.0531,-135.33,13.939999999999998,62,100,6.17,US,2023-10-16
104,brisas de zicatela,15.8369,-97.0419,31.29000000000002,48,40,3.09,MX,2023-10-16
105,fort-shevchenko,44.5086,50.263,15.79000000000002,42,46,8.51,KZ,2023-10-16
106,albany,42.6001,-73.9662,15.360000000000014,66,66,3.7,US,2023-10-16
107,yellowknife,62.456,-114.3525,6.900000000000034,99,100,4.12,CA,2023-10-16
108,bilibino,68.0546,166.4372,-10.579999999999984,100,99,1.16,RU,2023-10-16
109,zaraza,9.3503,-65.3245,32.670000000000016,52,67,1.64,VE,2023-10-16
110,anjozorobe,-18.4,47.8667,18.52000000000004,89,100,1.57,MG,2023-10-16
111,mar del plata,-38.0023,-57.5575,15.010000000000048,80,40,7.72,AR,2023-10-16
112,puerto ayora,-0.7393,-90.3518,25.310000000000002,91,92,4.47,EC,2023-10-16
113,harstad,68.799,16.5293,3.230000000000018,98,98,0.89,NO,2023-10-16
114,sandnessjoen,66.0217,12.6316,5.230000000000018,87,75,3.6,NO,2023-10-16
115,brezice,45.9033,15.5911,7.010000000000048,94,98,0.0,SI,2023-10-16
116,gadzhiyevo,69.2551,33.3362,3.230000000000018,82,100,13.48,RU,2023-10-16
117,toliara,-23.35,43.6667,23.650000000000034,70,100,6.21,MG,2023-10-16
118,san jose del guaviare,2.5729,-72.6459,29.129999999999995,70,76,1.15,CO,2023-10-16
119,iron mountain,45.8202,-88.066,12.900000000000034,56,0,5.14,US,2023-10-16
120,ramhormoz,31.28,49.6035,28.110000000000014,29,97,3.37,IR,2023-10-16
121,haiku-pauwela,20.9219,-156.3051,27.25,69,20,7.72,US,2023-10-16
122,colonia,50.9333,6.95,8.810000000000002,88,0,1.54,DE,2023-10-16
123,tralee,52.2704,-9.7026,8.800000000000011,87,100,4.79,IE,2023-10-16
124,carnarvon,-24.8667,113.6333,23.200000000000045,54,0,5.4,AU,2023-10-16
125,bethel,41.3712,-73.414,16.470000000000027,64,63,0.45,US,2023-10-16
126,quellon,-43.1167,-73.6167,10.450000000000045,66,4,5.48,CL,2023-10-16
127,tsiombe,-25.3,45.4833,21.660000000000025,75,100,1.29,MG,2023-10-16
128,sirte,31.2089,16.5887,23.189999999999998,63,0,3.76,LY,2023-10-16
129,mount gambier,-37.8333,140.7667,7.990000000000009,81,79,1.43,AU,2023-10-16
130,pokaran,26.9167,71.9167,26.879999999999995,45,37,3.59,IN,2023-10-16
131,waris aliganj,25.0167,85.6333,23.32000000000005,80,0,0.5,IN,2023-10-16
132,acarau,-2.8856,-40.12,26.25,77,5,7.65,BR,2023-10-16
133,ardestan,33.3761,52.3694,19.30000000000001,36,26,0.97,IR,2023-10-16
134,jiaojiang,28.6803,121.4428,16.110000000000014,80,0,1.91,CN,2023-10-16
135,sena madureira,-9.0656,-68.6569,33.610000000000014,42,51,1.07,BR,2023-10-16
136,polyarnyy,69.1989,33.4478,3.2100000000000364,85,100,13.01,RU,2023-10-16
137,thinadhoo,0.5333,72.9333,27.360000000000014,77,24,7.14,MV,2023-10-16
138,ust-nera,64.5667,143.2,-22.349999999999966,98,61,1.41,RU,2023-10-16
139,playa blanca,28.8643,-13.8281,25.110000000000014,72,94,1.2,ES,2023-10-16
